corredor,onibus hora,extensao,convencional,especial,total,ano
BR - 324 (Coca-Cola),71, 21.39,19,1,20,2018
AV. ALIOMAR BALEEIRO (Mansao do Caminho),61, 19.04,17,1,18,2018
AV. AFRANIO PEIXOTO (Baixa do Fiscal),163, 14.50,48,2,50,2018
AV. LUIS VIANA FILHO (PARALELA) - Shopping Amazonas,132, 13.37,30,0,30,2018
AV. OCTAVIO MANGABEIRA (Sol Plaza Hotel),64, 13.18,17,2,19,2018
AV. ANTONIO CARLOS MAGALHAES (Mc Donalds),226, 6.80,41,1,42,2018
EST. CAMPINAS S. CAETANO (Bompreco),75, 5.67,22,1,23,2018
AV. JURACY MAGALHAES JR. (Ceasa),163, 4.99,31,1,32,2018
AV. S. MARCOS AV. S. RAFAEL (Hospital Sao Rafael),71, 4.59,18,0,18,2018
AV. MARIO LEAL FERREIRA (BONOCO) Escola da Biblia,112, 4.51,26,2,28,2018
R. SILVEIRA MARTINS (Chacara Cabula),103, 4.50,18,1,19,2018
AV. TANCREDO NEVES (Hospital Sarah),230, 3.86,39,1,40,2018
AV. VASCO DA GAMA (Perini),86, 3.60,19,2,21,2018
AV. BARROS REIS (Madeireira Cristo Rei),152, 2.00,36,2,38,2018
AV. HEITOR DIAS (Bar Sertanejo),101, 2.00,18,2,20,2018
AV. DA FRANCA (Fuzileiros Navais),208, 3.23,53,2,55,2018
AV. CENTENARIO (Hospital Santo Amaro),86, 2.82,15,2,17,2018
AV. D. JOAO VI (Hospital Aristides Maltez),41, 2.78,10,1,11,2018
R. LIMA E SILVA (Plano Inclinado),58, 2.60,16,0,16,2018
AV. CARDEAL DA SILVA (Unifacs),35, 2.17,11,1,12,2018
AV. SETE DE SETEMBRO (Porto da Barra),71, 2.10,15,4,19,2018
AV. JOANA ANGELICA (Colegio Central),30, 1.38,6,0,6,2018
RUA CARLOS GOMES (Igreja Universal),90,1.11,20,4,24,2018
